Полное наименование лицензиата;Сокращенное наименование;Организационно-правовая форма;Адрес места нахождения;ОГРН;ИНН;Номер телефона;Адрес электронной почты;Регион
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИРЕНА-ТРЭВЕЛ""";"АО ""СИРЕНА-ТРЭВЕЛ""";Непубличные акционерные общества;125167, Г.МОСКВА, ПР-КТ ЛЕНИНГРАДСКИЙ, Д. 37, К. 12, ЭТАЖ 4 КОМН 42;1027700230722;7714171484;+7 (906) 750-58-88;is@ssstroy.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИСТЕМА ДАТА-ЦЕНТРОВ""";"АО ""СИСТЕМА ДАТА-ЦЕНТРОВ""";Акционерные общества;125315, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ АЭРОПОРТ, ПР-КТ ЛЕНИНГРАДСКИЙ, Д. 72, К. 3;1167746744538;7716830904;(919)724-35-05;belov@reg.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИСТЕМЫ ТЕЛЕКОМ""";"АО ""СТ""";Непубличные акционерные общества;630099, НОВОСИБИРСКАЯ ОБЛАСТЬ, городской округ ГОРОД НОВОСИБИРСК, Г НОВОСИБИРСК, УЛ ОРДЖОНИКИДЗЕ, Д. 47, ОФИС 108;1065405137390;5405331680;+3 842 462-00-8;T.Hohlova@smartfonsib.ru;новосибирская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИТРОНИКС""";"АО ""СИТРОНИКС""";Акционерные общества;109316, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ЮЖНОПОРТОВЫЙ, ПР-КТ ВОЛГОГРАДСКИЙ, Д. 32, К. 31, ЭТАЖ 3, ПОМЕЩ. 2;1027735010511;7735116621;(495)229-98-25;secretary@sitronics.com;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЛУЖБА ТСИ""";"АО ""СЛУЖБА ТСИ""";Непубличные акционерные общества;141301, МОСКОВСКАЯ ОБЛАСТЬ, СЕРГИЕВ ПОСАД Г., УЛ. ИНЖЕНЕРНАЯ, Д. 8, ПОМЕЩ. 524;1025005333286;5042010200;+7 (496) 545-80-00;info@tsinet.ru;московская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМАРТ ИНЖИНИРИНГ""";"АО ""СМАРТ ИНЖИНИРИНГ""";Акционерные общества;127273, Г.МОСКВА, УЛ. ОТРАДНАЯ, Д. 2Б, СТР. 9, ЭТАЖ 6;1107746106104;7715797637;+7 (915) 961 78 10;inform@smartengin.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМАРТКАРДЛИНК""";"АО ""СКЛ"" ИЛИ АО ""СМАРТКАРДЛИНК""";Акционерные общества;115088, Г.МОСКВА, ПР-Д 2-Й ЮЖНОПОРТОВЫЙ, Д. 20А, СТР. 4, ПОДЪЕЗД 1 ЭТАЖ 2;1027700225453;7734198004;(916)460-65-78;ykozyrev@intervale.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМАРТКОМ""";"АО ""СМАРТКОМ""";Непубличные акционерные общества;644047, ОМСКАЯ ОБЛАСТЬ, городской округ ГОРОД ОМСК, Г ОМСК, УЛ ЧЕРНЫШЕВСКОГО, Д. 23, ПОМЕЩ. 139;1035507017842;5504084256;+7 (381) 292-50-50;info@smartkom.ru;омская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОРБЕНТ""";"АО ""СОРБЕНТ""";Публичные акционерные общества;614042, ПЕРМСКИЙ КРАЙ, Г. ПЕРМЬ, УЛ. ГАЛЬПЕРИНА, Д. 6;1025901602770;5908001417;(342) 258-65-70;sorbent@zelinskygroup.com;пермский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПРИНТ-Т""";"АО ""СПРИНТ-Т""";Непубличные акционерные общества;300013, ТУЛЬСКАЯ ОБЛАСТЬ, Г. ТУЛА, УЛ. БОЛДИНА, Д. 29, ОФИС 205;1027100973503;7107034502;(4872)700-777;info@sunlink.ru;тульская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПУТНИКОВАЯ СИСТЕМА ""ГОНЕЦ""";"АО ""СС ""ГОНЕЦ""";Акционерные общества;105005, Г.МОСКВА, УЛ. БАУМАНСКАЯ, Д.53/2;1027739198662;7709239218;(495) 631-86-74, 745-50-60;info@ssgonets.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПУТНИКОВОЕ ТЕЛЕВИДЕНИЕ""";"АО ""СТВ""";Акционерные общества;115162, Г.МОСКВА, УЛ ШУХОВА, Д. 14, СТР. 9;5137746122773;7725810365;(499) 550-66-70;info@sattele.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПУТНИКОВЫЕ КОММУНИКАЦИОННЫЕ СИСТЕМЫ""";"АО ""СКС""";Непубличные акционерные общества;678175, РЕСПУБЛИКА САХА (ЯКУТИЯ), МИРНИНСКИЙ У., Г. МИРНЫЙ, УЛ. СОВЕТСКАЯ, Д. 7, КВ. 58;1021400968654;1433006519;(41136) 4-30-20;tatyana@mirny.scs.ru;республика саха (якутия)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПУТНИКОВЫЕ ТЕЛЕКОММУНИКАЦИИ БАШКОРТОСТАНА""";"АО ""СПУТНИКТЕЛЕКОМ""";Акционерные общества;450078, РЕСПУБЛИКА БАШКОРТОСТАН, Г. УФА, УЛ. САГИТА АГИША, Д.1, К.3;1040204598268;0278101668;+8 347 248-27-90;email@strb.ru;республика башкортостан
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СРЕДНЕВОЛЖСКАЯ МЕЖРЕГИОНАЛЬНАЯ АССОЦИАЦИЯ РАДИОТЕЛЕКОММУНИКАЦИОННЫХ СИСТЕМ""";"АО ""СМАРТС""";Публичные акционерные общества;443013, САМАРСКАЯ ОБЛАСТЬ, Г. САМАРА, УЛ. ДАЧНАЯ, ВЛД 2К2;1026300955163;6311008571;+7 927 902-26-07;sidorchev@smarts.ru;самарская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТВ""";"АО ""СТВ""";Непубличные акционерные общества;164500, АРХАНГЕЛЬСКАЯ ОБЛАСТЬ, Г СЕВЕРОДВИНСК, УЛ КАРЛА МАРКСА, Д. 21;1072902003096;2902055770;+79212988902;sekr@stv.severodvinsk.ru;архангельская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТОЙЛЕНСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";"АО ""СТОЙЛЕНСКИЙ ГОК""";Публичные акционерные общества;309504, БЕЛГОРОДСКАЯ ОБЛАСТЬ, Г. СТАРЫЙ ОСКОЛ, ПЛ-КА ФАБРИЧНАЯ ПР-Д-4 (ЮЗ П/Р ПРОМЗОНА);1023102367750;3128011788;(4725) 44-94-15;shevelyuhin_ae@nlmk.com;белгородская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙСЕРВИС""";"АО ""СТРОЙСЕРВИС""";Непубличные акционерные общества;125375, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, УЛ ТВЕРСКАЯ, Д. 28, К. 2, ПОМЕЩ./КОМ. III/7А;1027739298564;7710034550;(495) 937-64-27;taniakl@mail.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТУДИЯ АНДРЕЯ РЕЗНИКОВА""";"АО ""САР""";Непубличные акционерные общества;198303, Г.САНКТ-ПЕТЕРБУРГ, ПР-КТ СТАЧЕК, Д. 105, К. 1 ЛИТЕР Г, ПОМ. 3Н РАБ.М. 5;1057812700615;7805381697;+7 903 370-10-38;region@radiorecord.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУЭК-КУЗБАСС""";"АО ""СУЭК-КУЗБАСС""";Акционерные общества;652507, КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС, муниципальный округ ЛЕНИНСК-КУЗНЕЦКИЙ, Г ЛЕНИНСК-КУЗНЕЦКИЙ, УЛ ВАСИЛЬЕВА, Д. 1;1074212001368;4212024138;(38456) 9-33-11;Techsvyaz@suek.ru;кемеровская область - кузбасс
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СФЕРА""";"АО ""СФЕРА""";Непубличные акционерные общества;115093, Г.МОСКВА, УЛ. БОЛЬШАЯ СЕРПУХОВСКАЯ, Д.44, ОФ.33;1027700400771;7705033512;+7 (495) 672-70-36;info@sphaera.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫЗРАНСКИЙ НЕФТЕПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";"АО ""СНПЗ""";Акционерные общества;446029, САМАРСКАЯ ОБЛАСТЬ, Г СЫЗРАНЬ, УЛ АСТРАХАНСКАЯ, Д. 1;1026303056823;6325004584;8 (846) 490-87-11;sekr@snpz.rosneft.ru;самарская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАЙМВЭБ""";"АО ""ТАЙМВЭБ""";Непубличные акционерные общества;196006, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ МОСКОВСКАЯ ЗАСТАВА, УЛ ЗАСТАВСКАЯ, Д. 22, К. 2, ЛИТЕРА А;1247800127112;7810353960;(812)244-10-81;law@timeweb.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАНДЕР""";"АО ""ТАНДЕР""";Акционерные общества;350002, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, УЛ. ИМ. ЛЕВАНЕВСКОГО, Д. 185;1022301598549;2310031475;7-921-989-85-96;vvv@multisp.ru;краснодарский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТМЕДИА""";"АО ""ТАТМЕДИА""";Акционерные общества;420097, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), Г. КАЗАНЬ, УЛ. АКАДЕМИЧЕСКАЯ, Д. 2;1071690057834;1655144950;(843) 222-09-88;ask.tatmedia@yandex.ru;республика татарстан (татарстан)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТВ СЕРВИС""";"АО ""ТВ СЕРВИС""";Акционерные общества;123557, Г.МОСКВА, ПЕР. БОЛЬШОЙ ТИШИНСКИЙ, Д.43;1037739654215;7703136921;(495) 213 18 68, доб. 348;nmaslova@media1.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТВЕРЬ""";"АО ""ТВЕРЬ""";Публичные акционерные общества;170100, ТВЕРСКАЯ ОБЛАСТЬ, Г. ТВЕРЬ, ПЕР. СМОЛЕНСКИЙ, Д. 29, ОФИС 2;1026900527840;6905005704;8 (4822) 35-74-62;ap@tp.tver.ru;тверская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТВЦ ""ПЛАНЕТА""";"АО ""ТВЦ ""ПЛАНЕТА""";Акционерные общества;460024, ОРЕНБУРГСКАЯ ОБЛАСТЬ, Г. ОРЕНБУРГ, УЛ. ТУРКЕСТАНСКАЯ, Д.15;1025601023469;5610011193;+8 (987) 346-64-60;info@media56.ru;оренбургская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛ.КОМ""";"АО ""ТЕЛ.КОМ""";Непубличные акционерные общества;603145, НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г НИЖНИЙ НОВГОРОД, УЛ АКАДЕМИКА САХАРОВА, Д. 4, ОФИС 9,10,11;1105262010468;5262258366;+7(960)1777777;info@telcom.pro;нижегородская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕ-СЕРВИС ТУЛА""";"АО ""ТЕЛЕ-СЕРВИС ТУЛА""";Непубличные акционерные общества;300013, ТУЛЬСКАЯ ОБЛАСТЬ, Г. ТУЛА, УЛ. БОЛДИНА, Д. 29, ОФИС 201;1027100973756;7107052212;+7 (487) 270-07-77;info@sunlink.ru;тульская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕВИДЕОКОМПАНИЯ""";"АО ""ТВК""";Общества с ограниченной ответственностью;667000, РЕСПУБЛИКА ТЫВА, Г. КЫЗЫЛ, УЛ. КОЧЕТОВА, Д. 35, КАБИНЕТ 512;1021700507267;1701027891;8-913-351-67-66;boktvk@gmail.com;республика тыва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕДИСКОНТ""";"АО ""ТЕЛЕДИСКОНТ""";Непубличные акционерные общества;127018, Г.МОСКВА, УЛ. СУЩЁВСКИЙ ВАЛ, Д. 16, СТР. 4;1067746405913;7730538563;"727-10-05; (495)727-22-82";info@telediscount.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕКОММУНИКАЦИОННАЯ КОМПАНИЯ ""КОНВЕЙ ПЛЮС""";"АО ""ТК ""КОНВЕЙ ПЛЮС""";Непубличные акционерные общества;198035, Г.САНКТ-ПЕТЕРБУРГ, УЛ. МЕЖЕВОЙ КАНАЛ, Д. 5, ЛИТЕР А-А1, ОФИС 221;1027802713014;7805128038;8 (812) 714-93-00;postus@cplus.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕКОММУНИКАЦИОННЫЕ СЕТИ-НОРДНЕТ""";"АО ""НОРДНЕТ""";Непубличные акционерные общества;183017, МУРМАНСКАЯ ОБЛАСТЬ, Г. МУРМАНСК, УЛ. УШАКОВА, Д.1, 37;1025100857605;5191400038;(8152)224-940;nord-net@mail.ru;мурманская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕКОМПАНИЯ РУССКИЙ ПРОЕКТ""";"АО ""ТЕЛЕКОМПАНИЯ РУССКИЙ ПРОЕКТ""";Акционерные общества;432030, УЛЬЯНОВСКАЯ ОБЛАСТЬ, Г. УЛЬЯНОВСК, ПР-КТ НАРИМАНОВА, Д.75;1027301167959;7303018120;+7 927 270-02-63;shaihattarova@mail.ru;ульяновская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕКОННЕКТ""";"АО ""ТЕЛЕКОННЕКТ""";Акционерные общества;630501, НОВОСИБИРСКАЯ ОБЛАСТЬ, НОВОСИБИРСКИЙ Р-Н, РП. КРАСНООБСК, МКР 2, Д. 233, КВ. 49;1035404349310;5433142780;+7 (913) 987-71-61;sergey@hitek.ru;новосибирская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕРАДИОКОМПАНИЯ ""НАШ ДОМ""";"АО ""ТРК ""НАШ ДОМ""";Непубличные акционерные общества;440035, ПЕНЗЕНСКАЯ ОБЛАСТЬ, Г ПЕНЗА, УЛ МИРА, Д. 1А;1025801436583;5837009833;+8 903 323-29-37;dir35k@gmail.com;пензенская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕРАДИОКОМПАНИЯ ""НОВЫЙ ВЕК""";"АО ""ТРК ""НОВЫЙ ВЕК""";Непубличные акционерные общества;420095, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), Г КАЗАНЬ, УЛ ШАМИЛЯ УСМАНОВА, ЗД. 9;1021602824484;1653021456;+7 843 570-50-80;matveev@tnvtv.ru;республика татарстан (татарстан)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕРАДИОКОМПАНИЯ ""ОДИНЦОВО""";"АО ""ТРК ""ОДИНЦОВО""";Акционерные общества;143007, МОСКОВСКАЯ ОБЛАСТЬ, ОДИНЦОВО Г., УЛ. МОЛОДЕЖНАЯ, Д. 46, ОФИС 206;1165032050094;5032225937;8 (495) 590-70-00;a.startseva@odintv.ru;московская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕРАДИОКОМПАНИЯ ""ПЕТЕРБУРГ""";"АО ""ТЕЛЕРАДИОКОМПАНИЯ ""ПЕТЕРБУРГ""";Публичные акционерные общества;197022, Г.САНКТ-ПЕТЕРБУРГ, УЛ. ЧАПЫГИНА, Д. 6, ЛИТЕР А;1027809171906;7825404448;(495) 785-63-47;DVolkova@mbs.media;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕФОННАЯ КОМПАНИЯ САРОВА""";"АО ""ТКС""";Акционерные общества;607190, НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г. САРОВ, УЛ. КУРЧАТОВА, Д.3, -, 406;1025202198450;5254021451;8 (83130) 9-40-03;info@tcsarov.ru;нижегородская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕФОННАЯ КОМПАНИЯ""СОТКОМ""";"АО""ТК""СОТКОМ""";Публичные акционерные общества;390023, РЯЗАНСКАЯ ОБЛАСТЬ, Г. РЯЗАНЬ, УЛ. ЕСЕНИНА, Д.47/24;1026201264429;6231004437;+7 (491) 295-15-37;petrovichev@sotcom.ru;рязанская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛСИ""";"АО ""ТЕЛСИ""";Акционерные общества;190020, Г.САНКТ-ПЕТЕРБУРГ, НАБ. ОБВОДНОГО КАНАЛА, Д. 138, К. 2 ЛИТЕР АТ, ПОМЕЩ. 65-Н ОФИС 311-1;1027810235045;7809029535;(812) 495-94-99;telsispb@telsispb.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕХНОПАРК ""СТРОГИНО""";"АО ""ТЕХНОПАРК ""СТРОГИНО""";Непубличные акционерные общества;123458, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ СТРОГИНО, УЛ ТВАРДОВСКОГО, Д. 8, СТР. 1;1247700642507;9734005866;+8 495 248-00-88;tpstrogino@mail.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТИВИКОМ""";"АО ""ТИВИКОМ""";Акционерные общества;670000, РЕСПУБЛИКА БУРЯТИЯ, Г. УЛАН-УДЭ, УЛ. БОРСОЕВА, Д. 13;1170327000535;0326550539;(3012) 219-118;tivicom@inbox.ru;республика бурятия
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТК ""ДЗЕРЖИНСК""";"АО ""ТК ""ДЗЕРЖИНСК""";Непубличные акционерные общества;606024, НИЖЕГОРОДСКАЯ ОБЛАСТЬ, городской округ ГОРОД ДЗЕРЖИНСК, Г ДЗЕРЖИНСК, УЛ ЧАПАЕВА, Д. 31А, ОФИС 102;1020400758344;0411061779;+7 951 902-90-91;pronin_igor@mail.ru;нижегородская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТКП""";"АО ""ТКП"", ТКП";Непубличные акционерные общества;123056, Г.МОСКВА, УЛ. БОЛЬШАЯ ГРУЗИНСКАЯ, Д. 59, СТР. 1;1027739017800;7714017443;7(495)232-35-40;info@tch.ru;г.москва
